phase,update_or_checkpoint,domain,difficulty,canonical_status,outcome_category,completion_count,truncated_count,truncation_rate
training,1,gsm8k,,format_error,non_truncated_format_failure,4,0,0.0
training,1,gsm8k,,parse_error,parse_error,1,0,0.0
training,1,gsm8k,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,1,math,,format_error,non_truncated_format_failure,6,0,0.0
training,1,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,10,gsm8k,,format_error,non_truncated_format_failure,3,0,0.0
training,10,gsm8k,,verified_pass,canonical_pass,4,0,0.0
training,10,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,10,math,,format_error,non_truncated_format_failure,3,0,0.0
training,10,math,,verified_pass,canonical_pass,3,0,0.0
training,10,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,11,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,11,gsm8k,,parse_error,parse_error,1,0,0.0
training,11,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,11,math,,format_error,non_truncated_format_failure,5,0,0.0
training,11,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,12,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,12,gsm8k,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,12,math,,format_error,non_truncated_format_failure,6,0,0.0
training,12,math,,verified_pass,canonical_pass,2,0,0.0
training,13,gsm8k,,format_error,non_truncated_format_failure,5,0,0.0
training,13,gsm8k,,format_error,truncated_format_failure,1,1,1.0
training,13,gsm8k,,verified_pass,canonical_pass,2,0,0.0
training,13,math,,format_error,non_truncated_format_failure,3,0,0.0
training,13,math,,format_error,truncated_format_failure,1,1,1.0
training,13,math,,wrong_answer,parseable_wrong_answer,4,0,0.0
training,14,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,14,gsm8k,,parse_error,parse_error,1,0,0.0
training,14,math,,format_error,truncated_format_failure,2,2,1.0
training,14,math,,verified_pass,canonical_pass,1,0,0.0
training,14,math,,wrong_answer,parseable_wrong_answer,5,0,0.0
training,15,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,15,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,15,math,,format_error,non_truncated_format_failure,1,0,0.0
training,15,math,,format_error,truncated_format_failure,2,2,1.0
training,15,math,,wrong_answer,parseable_wrong_answer,5,0,0.0
training,16,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,16,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,16,math,,format_error,non_truncated_format_failure,5,0,0.0
training,16,math,,verified_pass,canonical_pass,1,0,0.0
training,16,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,17,gsm8k,,format_error,non_truncated_format_failure,2,0,0.0
training,17,gsm8k,,parse_error,parse_error,3,0,0.0
training,17,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,17,gsm8k,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,17,math,,format_error,non_truncated_format_failure,4,0,0.0
training,17,math,,format_error,truncated_format_failure,2,2,1.0
training,17,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,18,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,18,math,,format_error,non_truncated_format_failure,4,0,0.0
training,18,math,,verified_pass,canonical_pass,1,0,0.0
training,18,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,19,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,19,gsm8k,,parse_error,parse_error,1,0,0.0
training,19,math,,format_error,non_truncated_format_failure,3,0,0.0
training,19,math,,format_error,truncated_format_failure,1,1,1.0
training,19,math,,verified_pass,canonical_pass,1,0,0.0
training,19,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,2,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,2,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,2,math,,format_error,non_truncated_format_failure,4,0,0.0
training,2,math,,verified_pass,canonical_pass,1,0,0.0
training,2,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,20,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,20,math,,format_error,non_truncated_format_failure,3,0,0.0
training,20,math,,verified_pass,canonical_pass,3,0,0.0
training,20,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,21,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,21,math,,format_error,non_truncated_format_failure,3,0,0.0
training,21,math,,format_error,truncated_format_failure,1,1,1.0
training,21,math,,parse_error,parse_error,1,0,0.0
training,21,math,,verified_pass,canonical_pass,3,0,0.0
training,22,gsm8k,,format_error,non_truncated_format_failure,1,0,0.0
training,22,gsm8k,,parse_error,parse_error,1,0,0.0
training,22,gsm8k,,wrong_answer,parseable_wrong_answer,6,0,0.0
training,22,math,,format_error,non_truncated_format_failure,1,0,0.0
training,22,math,,verified_pass,canonical_pass,7,0,0.0
training,23,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,23,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,23,math,,format_error,non_truncated_format_failure,4,0,0.0
training,23,math,,format_error,truncated_format_failure,1,1,1.0
training,23,math,,verified_pass,canonical_pass,2,0,0.0
training,23,math,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,24,gsm8k,,format_error,non_truncated_format_failure,5,0,0.0
training,24,gsm8k,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,24,math,,format_error,non_truncated_format_failure,2,0,0.0
training,24,math,,verified_pass,canonical_pass,4,0,0.0
training,24,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,25,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,25,math,,verified_pass,canonical_pass,2,0,0.0
training,25,math,,wrong_answer,parseable_wrong_answer,6,0,0.0
training,26,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,26,math,,format_error,non_truncated_format_failure,3,0,0.0
training,26,math,,verified_pass,canonical_pass,5,0,0.0
training,27,gsm8k,,format_error,non_truncated_format_failure,4,0,0.0
training,27,gsm8k,,wrong_answer,parseable_wrong_answer,4,0,0.0
training,27,math,,format_error,non_truncated_format_failure,2,0,0.0
training,27,math,,format_error,truncated_format_failure,1,1,1.0
training,27,math,,verified_pass,canonical_pass,4,0,0.0
training,27,math,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,28,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,28,gsm8k,,parse_error,parse_error,2,0,0.0
training,28,math,,format_error,non_truncated_format_failure,2,0,0.0
training,28,math,,verified_pass,canonical_pass,3,0,0.0
training,28,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,29,gsm8k,,format_error,non_truncated_format_failure,3,0,0.0
training,29,gsm8k,,format_error,truncated_format_failure,1,1,1.0
training,29,gsm8k,,verified_pass,canonical_pass,2,0,0.0
training,29,gsm8k,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,29,math,,format_error,non_truncated_format_failure,1,0,0.0
training,29,math,,wrong_answer,parseable_wrong_answer,7,0,0.0
training,3,gsm8k,,format_error,non_truncated_format_failure,2,0,0.0
training,3,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,3,gsm8k,,wrong_answer,parseable_wrong_answer,5,0,0.0
training,3,math,,format_error,non_truncated_format_failure,4,0,0.0
training,3,math,,verified_pass,canonical_pass,2,0,0.0
training,3,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,30,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,30,gsm8k,,verified_pass,canonical_pass,2,0,0.0
