problem_id,domain,math_level,split,evaluation_mode,rendered_prompt_sha256,token_count,current_max_prompt_length,over_limit,prompt_plus_max_completion_length,tokenizer_truncation_occurred
gsm8k:train:1534,gsm8k,,train,training,4afe9bfce7f6f324c5f72aaa266cddc8a2c2c6a6d815c3ab3e27a7be5284f6bf,137,512,false,393,false
gsm8k:train:5411,gsm8k,,train,training,59028845b86266337dead88cfa6414ed5284692504dbcfee8de65021cdf24331,158,512,false,414,false
gsm8k:train:2289,gsm8k,,train,training,72427265fb992ef2472ce4face7ff07205898b6c2500c10f78feb65de38e72c4,204,512,false,460,false
gsm8k:train:3624,gsm8k,,train,training,a637c6953421034b44593c109f4c8babfc2e7c5d11f820e737a56da345fd38e9,192,512,false,448,false
gsm8k:train:4443,gsm8k,,train,training,65de7634f5b7c31585b5041bcc00155f32380675336ddba50155004016b20428,148,512,false,404,false
gsm8k:train:6598,gsm8k,,train,training,8faab87295001ae78195a1e30644ed56536aa8ce6ac3f18e418a07b291e6c912,128,512,false,384,false
gsm8k:train:2599,gsm8k,,train,training,68728e022e38f1b2d6f458c60c14070a0aff1bb15a90026899460016e82ae7fc,158,512,false,414,false
gsm8k:train:771,gsm8k,,train,training,b37e2dd9e90f0726f8acfaa9e120a49e8e5c7155a61f8bc3acb0c9873150159c,159,512,false,415,false
gsm8k:train:1750,gsm8k,,train,training,34f8573dc45029035c61140d60e859a41a1ebc3fab27dad0abe63aa8869efcc6,152,512,false,408,false
gsm8k:train:6271,gsm8k,,train,training,3e1bda8364e53d74da0af5ea7e7cab885a6f518b5ce61ad5b37dc9d2a6e686f4,145,512,false,401,false
gsm8k:train:613,gsm8k,,train,training,9ecbe67ceb626aaff8bc03ea79b0ca8da742826539153ee8fb991cc46a3fc8e1,148,512,false,404,false
gsm8k:train:1089,gsm8k,,train,training,d6050520b082b6d94982fffe7ca87a2d9a7d1f20a7c3bbd516654883c22ed77f,165,512,false,421,false
gsm8k:train:598,gsm8k,,train,training,33c0445dfb52da2fe0b1e0005d9673f89fad21e010087076b1a0568b37c26272,159,512,false,415,false
gsm8k:train:3010,gsm8k,,train,training,622c3aa59cfd7152e24b73e26379f2ae09607dc634ea0047fc2a11e284492155,161,512,false,417,false
gsm8k:train:6949,gsm8k,,train,training,b0dafd6dc194cd41e185b7a90b92583e919d4b9aed97ef4132f8a05bada2e4b7,148,512,false,404,false
gsm8k:train:6805,gsm8k,,train,training,4b59861d55891b777cf343da8305605dc13f720f6b62cfa459c78f314439f83b,199,512,false,455,false
gsm8k:train:5273,gsm8k,,train,training,901c11758d014e4c9759da8ec1c2fb8d312dad608418aefddc454f8439871492,141,512,false,397,false
gsm8k:train:5826,gsm8k,,train,training,05f38bb141605fbf681fae56049fd62b2ec8bfecd1efe8f68d206288b4a9dd97,141,512,false,397,false
gsm8k:train:1641,gsm8k,,train,training,0765a218672f0353f0527238007a5711f665de0096d2af51d3d5be13f26da1c7,128,512,false,384,false
gsm8k:train:7308,gsm8k,,train,training,d9b495adbd4efbfb46b55c1a231219510b57112813dccc566d7d262c1b81195a,132,512,false,388,false
gsm8k:train:7116,gsm8k,,train,training,c012414aea611a9a5336a855262ca8d671226f0299a9897d5be942a08f47b0a5,179,512,false,435,false
gsm8k:train:5373,gsm8k,,train,training,ec17d0e8c8459795a99206b0d72ec767d3a61a46c22dc6da272d91a0e773110a,170,512,false,426,false
gsm8k:train:5286,gsm8k,,train,training,a4cdb6736fc5d3f67a4e2576891d6a1a9a49194d9212f3d33e0eddaeec7d501d,140,512,false,396,false
gsm8k:train:5958,gsm8k,,train,training,e7fa937f82ac2609b824b840d03cb9e867f6868d2690d92a80b10927dc95d113,199,512,false,455,false
gsm8k:train:1294,gsm8k,,train,training,6075b4f8063275c35daa8d525a32f7f2d001665c6282ad43e956177c81807801,161,512,false,417,false
gsm8k:train:3549,gsm8k,,train,training,d0706ba0af0700628a9e5452b98fa1b8c5f64591d8ebb84d646b4c2eaef27e68,134,512,false,390,false
gsm8k:train:5293,gsm8k,,train,training,7a0a06251713de45f72efb501c4781a31ff601271141f316f314180cd6de14a3,139,512,false,395,false
gsm8k:train:5957,gsm8k,,train,training,a9e6df8ed80ba787e9d0f7154c32d7981ca2535bdbe6f7ce5aeb3a4ff39a86d1,191,512,false,447,false
gsm8k:train:5973,gsm8k,,train,training,f029e453a50d3525eab5ca3518b1da7cd6a7140a55d5c4d842373830a707771d,143,512,false,399,false
gsm8k:train:411,gsm8k,,train,training,6b51c6c433d99411fad4116638ff5faf2add19972d578032de962ae1bbaa763e,137,512,false,393,false
gsm8k:train:7078,gsm8k,,train,training,a626a9aad63b9cdc1427f462e1824b9b10c7e108a23ddb8b55d47fc0e56782b9,179,512,false,435,false
gsm8k:train:6649,gsm8k,,train,training,02ce5b4d4179a46a29659e9649f69cabe33a44c0b4984bec446f56988f977191,149,512,false,405,false
gsm8k:train:5201,gsm8k,,train,training,72af8d314395f5f36fb670fff191e17d3bb0c3ebc99ba498a61b06e5caef7971,157,512,false,413,false
gsm8k:train:5671,gsm8k,,train,training,21fbf35afc54c9a9e3c1fe5e87fc0fdefa59f8ac3c0f8f0e13c1f837fe457314,173,512,false,429,false
gsm8k:train:6428,gsm8k,,train,training,2629cc53e73309accc280d4eabe9d3ebc9a0bfb9384880a371bbe64b86b4e80d,144,512,false,400,false
gsm8k:train:1577,gsm8k,,train,training,2e6d502731bb24dc58f35f14cdf7b98e5a1a6139397659d5a879b411679e1c2e,142,512,false,398,false
gsm8k:train:1957,gsm8k,,train,training,02c6e58d346088029a94233c6cde2bce6dbc2cebd6db7d4ac87ca36786722f30,154,512,false,410,false
gsm8k:train:4493,gsm8k,,train,training,43915f3bef12f502047c3e837cfa465663e77da1b46a64ae8be7ca806b66f5c5,144,512,false,400,false
gsm8k:train:5352,gsm8k,,train,training,432376bdfa06195fc8a85ba987d4f6ffc522a1ac073a04014797a8129e84e38a,139,512,false,395,false
gsm8k:train:1806,gsm8k,,train,training,e395e1caa8bb75dac5e607aa99c6451d465db21872cfdcbf2b01b9253cc07605,128,512,false,384,false
gsm8k:train:2617,gsm8k,,train,training,41ac492e327cba4649bad1689b2b6b9432a5eb697a6d6e5af1f24da03b924d73,154,512,false,410,false
gsm8k:train:1784,gsm8k,,train,training,f1876a29255dae45d4d77757f27486bfd625a0ca9b194fe1a0eb2a6c1a1babf3,147,512,false,403,false
gsm8k:train:6291,gsm8k,,train,training,a745c0fd76c0cdd09a2a198bb916b14ba944f5648fec498bb870cb78601090d0,195,512,false,451,false
gsm8k:train:2059,gsm8k,,train,training,ce9443e513488e62bf13c038c3ac49d38fb67ebc1b0d1c758e539b6a7a99f525,148,512,false,404,false
gsm8k:train:6533,gsm8k,,train,training,4e4f2b24d3760be5cd3ea44450cc7711faa453ecde28fa73e51d0fd154f62cca,153,512,false,409,false
gsm8k:train:5235,gsm8k,,train,training,42cc06872a88f0c8406e0739c6ad9348d95ae4bf5947c3cd2e982eb147a876a5,175,512,false,431,false
gsm8k:train:5577,gsm8k,,train,training,1c6a12658b778b347482ff23618b603a336ed9b0c98d47af6389a68296bcd053,134,512,false,390,false
gsm8k:train:6556,gsm8k,,train,training,578317b4d770b6f66b1f6440c5326392a472334e1f276e8fce019286b741f0ec,190,512,false,446,false
gsm8k:train:6174,gsm8k,,train,training,abf6a4360f2640a26a54afacca2b86ba261fd7fd243161a5cc585f83adb74ec0,164,512,false,420,false
gsm8k:train:7327,gsm8k,,train,training,c3c4d436d1e8d0c61ce463ca331c124cdba0fdf99b195a9c6cc5f4e8ab38e7a3,170,512,false,426,false
gsm8k:train:3648,gsm8k,,train,training,26ea3b280e70fd8c42fd3e565c2c1f4ed24c5d44852f94d9850a8a1b603d413c,193,512,false,449,false
gsm8k:train:3117,gsm8k,,train,training,4a3b00ceaca22db152550642ae59fbfeed875113adb59e9a2ef09b1373389dae,132,512,false,388,false
gsm8k:train:3773,gsm8k,,train,training,e26e7649daafe56d8a26da49017603b335216c058bddd8d3c1a737425616a3bd,163,512,false,419,false
gsm8k:train:4234,gsm8k,,train,training,6400e7b56ba95a89007e3fde62edbeb29a74fb686cd66b43ca6ecfaaed0a8ffc,146,512,false,402,false
gsm8k:train:5597,gsm8k,,train,training,bfc81b63ac32a2e415d1469202845d7d68bb7930ddb4c47b9e8322a763a23f67,183,512,false,439,false
gsm8k:train:5518,gsm8k,,train,training,38c01bf1fc3d9c869a43182bcbda295fd988615389d13d0c845ced15bca78417,139,512,false,395,false
gsm8k:train:97,gsm8k,,train,training,aeae488ff17cb05ab4cc92203d66bf885c6abfea46e92a35ff13e4a79cde7798,203,512,false,459,false
gsm8k:train:4330,gsm8k,,train,training,95ae7310dcceb3646a21d2312b4ccb6277e3a73d7f6cac24df43950da464e63f,137,512,false,393,false
gsm8k:train:3312,gsm8k,,train,training,fb2e2f49551676720e2826188785c2f7901d32a1f371822f69adee76dd3b2fc6,154,512,false,410,false
