position,update,slot,problem_id,content_hash,domain,level,difficulty_proxy,difficulty_proxy_value
1,1,0,gsm8k:openai/gsm8k:train:4119,9356cc0bb5d3b890b40acb55b8d48b78172c3adc42885b6b0d55703e3777c3aa,gsm8k,na,official_solution_whitespace_tokens,7
2,1,1,gsm8k:openai/gsm8k:train:447,b1b3003fcfabc1f2bb7e4886cb019d3ad9049624fe37cfa8066ac98d4e9c92ca,gsm8k,na,official_solution_whitespace_tokens,8
3,1,2,math:DigitalLearningGmbH/MATH-lighteval:train:1555,0054af86d7491a862068090c5ead50aedc5da446660c433588c880f288dbef2a,math,1,math_level_1,1
4,1,3,math:DigitalLearningGmbH/MATH-lighteval:train:989,028d6188eab28d4c28ebf681940035aa4b9ecb072d4945da5f19161459337e58,math,1,math_level_1,1
5,2,0,gsm8k:openai/gsm8k:train:2887,32c0734d7a7f1b63ca8d4e9d728a01f8615b81d43ff83e74708d8ff33fde4506,gsm8k,na,official_solution_whitespace_tokens,9
6,2,1,gsm8k:openai/gsm8k:train:6910,915eeea3ba4065fa37ff88a7074ff688b3baff6b39c1966d5423890f17219305,gsm8k,na,official_solution_whitespace_tokens,9
7,2,2,math:DigitalLearningGmbH/MATH-lighteval:train:6367,02d2f95d7484de4d2e79c760a065e9b397d507f6ba765a109f0af4dd919f23e8,math,1,math_level_1,1
8,2,3,math:DigitalLearningGmbH/MATH-lighteval:train:5638,047d35ebabf9a68d59a7c541b20f9c379dafa6d394d4e892b48f04397c2e74a7,math,1,math_level_1,1
9,3,0,gsm8k:openai/gsm8k:train:3379,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,gsm8k,na,official_solution_whitespace_tokens,10
10,3,1,gsm8k:openai/gsm8k:train:652,2b6b87ff6e91ffb399fba6eaa303c0366ea70e3c7295d5fbf487450bbbf33461,gsm8k,na,official_solution_whitespace_tokens,11
11,3,2,math:DigitalLearningGmbH/MATH-lighteval:train:1159,09081ca71a386b3ec9f73602b75b0f8231ab297f4092c36d13a4c5d181c4f3ea,math,1,math_level_1,1
12,3,3,math:DigitalLearningGmbH/MATH-lighteval:train:580,10dfee7c2a657b85092870c0ea342009a82ba83e525b4141410f831d7110d6e4,math,1,math_level_1,1
13,4,0,gsm8k:openai/gsm8k:train:6704,aadbb4f229eb99afb8cd8ee5dbafd801a779790ae05a6c4819574d4a57728bb8,gsm8k,na,official_solution_whitespace_tokens,11
14,4,1,gsm8k:openai/gsm8k:train:4082,6696726846e834e32d5a2abe3f6553ac4d824487b6a1ba732b852130691c8994,gsm8k,na,official_solution_whitespace_tokens,12
15,4,2,math:DigitalLearningGmbH/MATH-lighteval:train:180,16b9409048403b96dfdb3a3ed5fbe6ded7e4f1f3fd88da8d062f2a6fa1b5de42,math,1,math_level_1,1
16,4,3,math:DigitalLearningGmbH/MATH-lighteval:train:1864,181c8a3d6660d062bb47d570a090dcf101a4d881d37c8b26120b87d726c3571b,math,1,math_level_1,1
17,5,0,gsm8k:openai/gsm8k:train:3300,bc203bc190b76ad87bad2e5f091404bf55c69bfc6c4300426f54e582cfa26a8d,gsm8k,na,official_solution_whitespace_tokens,12
18,5,1,gsm8k:openai/gsm8k:train:5491,93a82f4cb181b8c60bc90d989f07995b3f842a1ade0aac9cf8996441c447cd34,gsm8k,na,official_solution_whitespace_tokens,13
19,5,2,math:DigitalLearningGmbH/MATH-lighteval:train:7081,1c6a48d891779de770fa07d3d0e7cb75ecffc7923de0c01e715070d132a2c347,math,1,math_level_1,1
20,5,3,math:DigitalLearningGmbH/MATH-lighteval:train:4703,2564e2d8724f05dfde33836a2a57d5ee9eb140bfd69cadb3d43faa1cefc32718,math,1,math_level_1,1
21,6,0,gsm8k:openai/gsm8k:train:705,0287408848da527d975b2abb4bab6cbe40317677aa145ae0e38ba1a28d778f9e,gsm8k,na,official_solution_whitespace_tokens,15
22,6,1,gsm8k:openai/gsm8k:train:5980,16aab368916b3c1619ab27e733723357eac682ec9d27ac3b9733718731577faf,gsm8k,na,official_solution_whitespace_tokens,15
23,6,2,math:DigitalLearningGmbH/MATH-lighteval:train:4207,2afa69c1d56f9412bd82a0e6eb7b8acacd2ff067d0eda02ddcee71382a66962f,math,1,math_level_1,1
24,6,3,math:DigitalLearningGmbH/MATH-lighteval:train:4020,2b5b091a7ce3328a7bf3c844af3df72f89f1d51c22d5b6872366ea0940386a31,math,1,math_level_1,1
25,7,0,gsm8k:openai/gsm8k:train:3870,78ef2f571861d6485ba815f1de227448e4c3e462b81571002d7f376f0e003239,gsm8k,na,official_solution_whitespace_tokens,15
26,7,1,gsm8k:openai/gsm8k:train:3910,875f0048d074b058928d5b2928a6bccd38e03c89ac6da403e3dc3f1e364243d6,gsm8k,na,official_solution_whitespace_tokens,15
27,7,2,math:DigitalLearningGmbH/MATH-lighteval:train:578,2c1ff2d0662018d112f3547b26b704324a882062b46cee134ae375c2fc754994,math,1,math_level_1,1
28,7,3,math:DigitalLearningGmbH/MATH-lighteval:train:1055,417d7921213acd364c5ed5279acd4e0aababac4fbd1f63b88b75f8266ea37f82,math,1,math_level_1,1
29,8,0,gsm8k:openai/gsm8k:train:5487,c37ffc59db87d4344031941d36737effff8329cb4a8846d6818f31f6244ee0a4,gsm8k,na,official_solution_whitespace_tokens,15
30,8,1,gsm8k:openai/gsm8k:train:3075,098a2437e387ac46c9bc638790fef8f1613ac4b8c1c56ddea279a4e1fda19d35,gsm8k,na,official_solution_whitespace_tokens,16
31,8,2,math:DigitalLearningGmbH/MATH-lighteval:train:182,44f11a17f996e2c41acbca102ae84dbfa3484e45c22c19719ac03cb636455a01,math,1,math_level_1,1
32,8,3,math:DigitalLearningGmbH/MATH-lighteval:train:69,4789d66c5e7094187487f4d598a6e3bb290d83a73ba813ab6cf71134add5ad39,math,1,math_level_1,1
