slice,truncated,canonical_status,count,subset_denominator,subset_rate
overall,True,format_error,64,64,1.0
overall,True,parse_error,0,64,0.0
overall,True,invalid_expression,0,64,0.0
overall,True,invalid_number_usage,0,64,0.0
overall,True,resource_limit,0,64,0.0
overall,True,wrong_answer,0,64,0.0
overall,True,verified_pass,0,64,0.0
overall,False,format_error,540,736,0.7336956521739131
overall,False,parse_error,34,736,0.04619565217391304
overall,False,invalid_expression,0,736,0.0
overall,False,invalid_number_usage,0,736,0.0
overall,False,resource_limit,0,736,0.0
overall,False,wrong_answer,113,736,0.15353260869565216
overall,False,verified_pass,49,736,0.06657608695652174
gsm8k,True,format_error,1,1,1.0
gsm8k,True,parse_error,0,1,0.0
gsm8k,True,invalid_expression,0,1,0.0
gsm8k,True,invalid_number_usage,0,1,0.0
gsm8k,True,resource_limit,0,1,0.0
gsm8k,True,wrong_answer,0,1,0.0
gsm8k,True,verified_pass,0,1,0.0
gsm8k,False,format_error,312,399,0.7819548872180451
gsm8k,False,parse_error,28,399,0.07017543859649122
gsm8k,False,invalid_expression,0,399,0.0
gsm8k,False,invalid_number_usage,0,399,0.0
gsm8k,False,resource_limit,0,399,0.0
gsm8k,False,wrong_answer,36,399,0.09022556390977443
gsm8k,False,verified_pass,23,399,0.05764411027568922
math500,True,format_error,63,63,1.0
math500,True,parse_error,0,63,0.0
math500,True,invalid_expression,0,63,0.0
math500,True,invalid_number_usage,0,63,0.0
math500,True,resource_limit,0,63,0.0
math500,True,wrong_answer,0,63,0.0
math500,True,verified_pass,0,63,0.0
math500,False,format_error,228,337,0.6765578635014837
math500,False,parse_error,6,337,0.017804154302670624
math500,False,invalid_expression,0,337,0.0
math500,False,invalid_number_usage,0,337,0.0
math500,False,resource_limit,0,337,0.0
math500,False,wrong_answer,77,337,0.228486646884273
math500,False,verified_pass,26,337,0.0771513353115727
math500_level_1,True,format_error,8,8,1.0
math500_level_1,True,parse_error,0,8,0.0
math500_level_1,True,invalid_expression,0,8,0.0
math500_level_1,True,invalid_number_usage,0,8,0.0
math500_level_1,True,resource_limit,0,8,0.0
math500_level_1,True,wrong_answer,0,8,0.0
math500_level_1,True,verified_pass,0,8,0.0
math500_level_1,False,format_error,33,72,0.4583333333333333
math500_level_1,False,parse_error,1,72,0.013888888888888888
math500_level_1,False,invalid_expression,0,72,0.0
math500_level_1,False,invalid_number_usage,0,72,0.0
math500_level_1,False,resource_limit,0,72,0.0
math500_level_1,False,wrong_answer,25,72,0.3472222222222222
math500_level_1,False,verified_pass,13,72,0.18055555555555555
math500_level_2,True,format_error,8,8,1.0
math500_level_2,True,parse_error,0,8,0.0
math500_level_2,True,invalid_expression,0,8,0.0
math500_level_2,True,invalid_number_usage,0,8,0.0
math500_level_2,True,resource_limit,0,8,0.0
math500_level_2,True,wrong_answer,0,8,0.0
math500_level_2,True,verified_pass,0,8,0.0
math500_level_2,False,format_error,56,72,0.7777777777777778
math500_level_2,False,parse_error,2,72,0.027777777777777776
math500_level_2,False,invalid_expression,0,72,0.0
math500_level_2,False,invalid_number_usage,0,72,0.0
math500_level_2,False,resource_limit,0,72,0.0
math500_level_2,False,wrong_answer,7,72,0.09722222222222222
math500_level_2,False,verified_pass,7,72,0.09722222222222222
math500_level_3,True,format_error,10,10,1.0
math500_level_3,True,parse_error,0,10,0.0
math500_level_3,True,invalid_expression,0,10,0.0
math500_level_3,True,invalid_number_usage,0,10,0.0
math500_level_3,True,resource_limit,0,10,0.0
math500_level_3,True,wrong_answer,0,10,0.0
math500_level_3,True,verified_pass,0,10,0.0
math500_level_3,False,format_error,49,70,0.7
math500_level_3,False,parse_error,2,70,0.02857142857142857
math500_level_3,False,invalid_expression,0,70,0.0
math500_level_3,False,invalid_number_usage,0,70,0.0
math500_level_3,False,resource_limit,0,70,0.0
math500_level_3,False,wrong_answer,16,70,0.22857142857142856
math500_level_3,False,verified_pass,3,70,0.04285714285714286
math500_level_4,True,format_error,20,20,1.0
math500_level_4,True,parse_error,0,20,0.0
math500_level_4,True,invalid_expression,0,20,0.0
math500_level_4,True,invalid_number_usage,0,20,0.0
math500_level_4,True,resource_limit,0,20,0.0
math500_level_4,True,wrong_answer,0,20,0.0
math500_level_4,True,verified_pass,0,20,0.0
math500_level_4,False,format_error,40,60,0.6666666666666666
math500_level_4,False,parse_error,1,60,0.016666666666666666
math500_level_4,False,invalid_expression,0,60,0.0
math500_level_4,False,invalid_number_usage,0,60,0.0
math500_level_4,False,resource_limit,0,60,0.0
math500_level_4,False,wrong_answer,16,60,0.26666666666666666
math500_level_4,False,verified_pass,3,60,0.05
math500_level_5,True,format_error,17,17,1.0
math500_level_5,True,parse_error,0,17,0.0
math500_level_5,True,invalid_expression,0,17,0.0
math500_level_5,True,invalid_number_usage,0,17,0.0
math500_level_5,True,resource_limit,0,17,0.0
math500_level_5,True,wrong_answer,0,17,0.0
math500_level_5,True,verified_pass,0,17,0.0
math500_level_5,False,format_error,50,63,0.7936507936507936
math500_level_5,False,parse_error,0,63,0.0
math500_level_5,False,invalid_expression,0,63,0.0
math500_level_5,False,invalid_number_usage,0,63,0.0
math500_level_5,False,resource_limit,0,63,0.0
math500_level_5,False,wrong_answer,13,63,0.20634920634920634
math500_level_5,False,verified_pass,0,63,0.0
