problem_id,domain,math500_level,rendered_prompt_sha256,base_pass1,ppo_pass1,grpo_pass1,base_to_grpo_pass1_delta,ppo_to_grpo_pass1_delta,base_pass4,ppo_pass4,grpo_pass4,base_status,ppo_status,grpo_status,base_format_valid,ppo_format_valid,grpo_format_valid,base_parseable,ppo_parseable,grpo_parseable,base_truncated,ppo_truncated,grpo_truncated
gsm8k:test:1000,gsm8k,,0cc8bc48d23d0aac39def46c1fbbcbe06334e05e410f633778c5d4da8662f76e,0,0,0,0,0,,,,wrong_answer,wrong_answer,wrong_answer,True,True,True,True,True,True,False,False,False
gsm8k:test:1003,gsm8k,,20ef1db482c4e683ee1b40dac4ae1570a1e720302c3c0d6434b69e7710448084,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1009,gsm8k,,4f11964447a1ceb07433d744055b4a223930f2b5736ccb129b71f7ee5c91abe4,0,0,0,0,0,0,0,0,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1010,gsm8k,,3e84a9b3a8c7070fa05db29c4237d0c41f9e8c5e77e14cd030f43df2c427ef58,1,0,0,-1,0,1,0,1,verified_pass,format_error,wrong_answer,True,False,True,True,False,True,False,False,False
gsm8k:test:1012,gsm8k,,8e950812e878fb29efef6327f28f296c43e433844d805517984590d710c31be1,0,0,0,0,0,0,0,0,wrong_answer,format_error,format_error,True,False,False,True,False,False,False,False,False
gsm8k:test:1030,gsm8k,,865f2c4942edb983db0a5188bd03ce3ca8d521b3f7c2822d3f45f08a3d188083,0,0,0,0,0,,,,format_error,format_error,wrong_answer,False,False,True,False,False,True,False,False,False
gsm8k:test:1031,gsm8k,,49d2c947eda2c86f6b04d7369c75050dbb666aca9a060f9b8d8d557dd9327e54,0,0,0,0,0,0,0,0,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1033,gsm8k,,68ec10e014d4b85c64cea33bc1fbb8f697ca90784f9cd52fb534d20a8d7798ca,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1041,gsm8k,,8e84fb0de39a5dd6017928cab692063a3e81b8834050ed42f5a433bc08ea5a0b,0,0,0,0,0,0,0,0,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1050,gsm8k,,f2023af7e46fd493d2101c7996ef1ad3dd0d112af7d8493a8e81f4ccc6a78b9a,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1057,gsm8k,,d5fec455ab7735c6d61ba2351447befb98b6c8af1fc9294ccd1074e1483f7405,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:106,gsm8k,,ccee3126817197da793c30faefa9b3bb2539a2466849418c06ab9f523165b5a2,0,0,0,0,0,0,0,0,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1062,gsm8k,,654c0816c92e697af47bc9038481f87c33182491498333a526cb3aa5f6a41dfc,0,0,0,0,0,0,0,0,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1067,gsm8k,,e7d199bdf780a1a968d18f1b68ec03e20f5d7eeca04ed96cdeb7234a09f6e1cd,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
gsm8k:test:1075,gsm8k,,53ff4f08d18684fa4eb9e3a3e346da0a8e04e9de13757727a17e30c5a0f67340,0,0,0,0,0,,,,format_error,format_error,format_error,False,False,False,False,False,False,False,False,False
