problem_id,dataset,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count_excluding_eos,active_target_token_count_including_eos,combined_token_count,ignored_prompt_labels,active_labels,eos_active,prompt_cap,target_cap,sequence_cap,prompt_margin,target_margin,sequence_margin,truncation,status
gsm8k:openai/gsm8k:train:5980,gsm8k,,16aab368916b3c1619ab27e733723357eac682ec9d27ac3b9733718731577faf,25e5f378aeeb9ce0f9586c4cb9e265186249c7edc1f3cf104d702a29046b89e6,144,82,83,227,144,83,True,928,640,1088,784,557,861,False,passed
gsm8k:openai/gsm8k:train:2789,gsm8k,,089b7dca621360d367b0450d61fc38518eeab7df5ae7568c2c6198d640ace979,b1a206c6e23e210857bd0bb6a02856802a0bd59e178c1bfea96c3ab3a9b3449f,144,113,114,258,144,114,True,928,640,1088,784,526,830,False,passed
gsm8k:openai/gsm8k:train:1776,gsm8k,,0953bab0d62fef5490f18df2bdbd4b8f70b504727a733cd66828674e65dfbbdd,c29217d3d54a7ea50396ed470f15d44c3dd596d2b685a7ffaae8b63da1f9cdd9,190,170,171,361,190,171,True,928,640,1088,738,469,727,False,passed
gsm8k:openai/gsm8k:train:1815,gsm8k,,f863d446d7efdf0d27d80a1644484fe8577812db69f468c74a876483935933e3,890b6b336c10b3ebc3d2d355f7d278b56f1880c340f1fc0e1259ba1dbd172fb5,160,122,123,283,160,123,True,928,640,1088,768,517,805,False,passed
gsm8k:openai/gsm8k:train:3910,gsm8k,,875f0048d074b058928d5b2928a6bccd38e03c89ac6da403e3dc3f1e364243d6,c25c3f83051fc61d924b572957294920af0d8615b5691bf7c0d100de23f22a1e,134,63,64,198,134,64,True,928,640,1088,794,576,890,False,passed
gsm8k:openai/gsm8k:train:2766,gsm8k,,72180b5f682ca2bc17f20f80831ac82ec0c10ebfebf9999af02e78053f3a04e0,341542bf1273fbf6822edbec610cb505332994e80dec55799db31c26dfb70f42,159,100,101,260,159,101,True,928,640,1088,769,539,828,False,passed
gsm8k:openai/gsm8k:train:6040,gsm8k,,e3353cc524bc46ecb51128e0fbbf4a3dd1faa6a43e2fc20274eb515e5a9f8638,d4091a71e4588a9ed249ab1c8b110b69de048b7a9f63b96711d83c3ae4656290,157,92,93,250,157,93,True,928,640,1088,771,547,838,False,passed
gsm8k:openai/gsm8k:train:4447,gsm8k,,faadfaace20f1ebdd2c79cd3c0f6e78fca109e3442748b9f1044eed35b5ecfcf,7d5ef31bd20c49b6dec4988e0707ac630dd11b9c27a410dfe02e7acb476d2613,181,164,165,346,181,165,True,928,640,1088,747,475,742,False,passed
gsm8k:openai/gsm8k:train:5871,gsm8k,,d8d5992947afeeb0516726623fc844e52c6a03d289a2ca12e28397621b7c03e4,5aaa64b1639a859075ea7289b2af34ddf555d60bfb19632bd4a577be2f1a34e9,156,106,107,263,156,107,True,928,640,1088,772,533,825,False,passed
gsm8k:openai/gsm8k:train:6052,gsm8k,,07323805b09e9eae8034921549d29de263a21f27f34fb3c96ee4606f2dae5dd1,a6f4601ad16afe390f212d96b9a12f115c6ff06776212c07ca35b91946c601bb,146,209,210,356,146,210,True,928,640,1088,782,430,732,False,passed
gsm8k:openai/gsm8k:train:3126,gsm8k,,c9cee6b3d6a180a7d575980a9e31b012e7717e713ec42399b6dac7c955d21a49,289ee89ffc392d1f73abe3cc0e68a4104e70995ce174a9ca613a64167dac2be6,196,283,284,480,196,284,True,928,640,1088,732,356,608,False,passed
gsm8k:openai/gsm8k:train:6608,gsm8k,,d3af5d6f4d44317b57f835a6d09a4853ee6db6f4603369dae0c50e38f7bbc27d,115418e8afd63ab45e28294d8c01b05b9fbe3f22b60515cfd055e7d4f11f8a38,192,328,329,521,192,329,True,928,640,1088,736,311,567,False,passed
gsm8k:openai/gsm8k:train:3469,gsm8k,,a1e94f3baf527caac6004d45dc632dd395c9d31f35f9f63b71f5755f500715cf,26ad73873fb3bb652e2a4829ae75b1263fbec6d52960288db5179c5aef33187c,169,141,142,311,169,142,True,928,640,1088,759,498,777,False,passed
gsm8k:openai/gsm8k:train:3675,gsm8k,,c99929d7dbfcbae8f6442fbeb0e6b23c9b483e297a47d21f11134ac6c369735d,ed9a8347a0c2a9da46b226ab9aef369617127831323b5ebee6aee2a5cd104337,146,139,140,286,146,140,True,928,640,1088,782,500,802,False,passed
gsm8k:openai/gsm8k:train:2833,gsm8k,,ff2522245ea447ca8fa7646af3d1da8420878157f0c0ca582532464a64bab7d9,b4b6d6384b8c593728861161561e32c035c7d0022eb9d4c09ed1c97381a4a0ba,194,185,186,380,194,186,True,928,640,1088,734,454,708,False,passed
gsm8k:openai/gsm8k:train:3615,gsm8k,,b44cdb17340dd5a0184028365672b9712e6cd03dd96a3b6714691e7cce8cc815,8245d35dc1f14042aec04b4eafd06c1b02f429e09a9266985418d518d867b582,167,133,134,301,167,134,True,928,640,1088,761,506,787,False,passed
gsm8k:openai/gsm8k:train:6674,gsm8k,,446e0c3d33078020ca226858a67a8bf95d3bbb8d8cf54f283cb4c4dbb4259666,7e98c6e481779a2e90f9299dbad0b9893d506bd321a13bd346ad2c585b8dec3d,156,149,150,306,156,150,True,928,640,1088,772,490,782,False,passed
gsm8k:openai/gsm8k:train:4834,gsm8k,,b2991842d4ecb748aecca75a6cad6922df8786b1fbc6d2851670f5d717ebd83b,6d340d199426d452b7729f2106d42e8d747c994006c76fb4063f2df96ba3fcf1,157,120,121,278,157,121,True,928,640,1088,771,519,810,False,passed
gsm8k:openai/gsm8k:train:2400,gsm8k,,5b42ae1c63fa33429499a798f953bbd9e838bd720309f81b6fe298458c59b33c,d0ca85c6a0971c310b0b6f8b1aa36ba652623fa33fe27393552577bc3662a648,131,76,77,208,131,77,True,928,640,1088,797,563,880,False,passed
gsm8k:openai/gsm8k:train:3379,gsm8k,,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,541965b5e3fea044a200d9ad2e9f2ffa1a5fcce3a89accc8199051ac1cc4abb8,140,60,61,201,140,61,True,928,640,1088,788,579,887,False,passed
gsm8k:openai/gsm8k:train:6212,gsm8k,,323b6a08198d1eb1342141350b1002d5eed786144a1b1b27708e77751d4588f3,eac6422fd01e6f113c0425f66a94bab1fb4f12ed6062db9e98b0766adcad2c46,155,121,122,277,155,122,True,928,640,1088,773,518,811,False,passed
gsm8k:openai/gsm8k:train:4772,gsm8k,,4e7941dd749ee480d82c79d98865a9abb6a90f3d37427ea9ff1325bad61ed3a5,4390393a73c37171615d8778c105f473162ab775ddcdb859b7d91ab310d87382,167,177,178,345,167,178,True,928,640,1088,761,462,743,False,passed
gsm8k:openai/gsm8k:train:4509,gsm8k,,1e41922467239eddb686bc6a83fe10eb13780a94f7067f5625e6b381c05adcee,4448673dcf56a79859398a13761991d70e85c1019964e5b6fe925d09e59d3b76,156,251,252,408,156,252,True,928,640,1088,772,388,680,False,passed
gsm8k:openai/gsm8k:train:7004,gsm8k,,b9f17e07505389ca0c50c78a514ef37aa48d21284f3c596fce8287acf43527ce,026be7821e6873e20b8377704685206ce9b7f6c17fa40741f9919304774ac1c1,143,188,189,332,143,189,True,928,640,1088,785,451,756,False,passed
gsm8k:openai/gsm8k:train:5440,gsm8k,,ec42847a2f19e3381e660980eeb68a7b0b6e99a365529dd83c6827b88643c2d0,83733f1123a5290662da6b8b505ab9d9462426f24cbd58823b8f5ac0f36306ab,140,130,131,271,140,131,True,928,640,1088,788,509,817,False,passed
gsm8k:openai/gsm8k:train:1001,gsm8k,,393de9cd0e20267f72d7ebee1bdad79f740c62675ab90338d440bf2d2c509266,8be5624bcf0c4c4ee37af52f58800e955123faad159d0e1180222490e6c0d49b,173,224,225,398,173,225,True,928,640,1088,755,415,690,False,passed
gsm8k:openai/gsm8k:train:2965,gsm8k,,efa897cb4f11d73775a66169094ab53c9df931897f1c7e1b3108227a96d58f1e,7ae4fe6b7a27b23931e63d16022da69d9514342c84bee3ac4b30b7834fba7ac6,163,162,163,326,163,163,True,928,640,1088,765,477,762,False,passed
gsm8k:openai/gsm8k:train:2115,gsm8k,,c8b3f669dfa273970c59811e1b3a9c7b0177704e22a1e2f8b6c82727319eba8a,8fb3156c9e6f20791e1b17fee8fcbeed916bbc5d38858bdab2ce435e4fb5226c,167,69,70,237,167,70,True,928,640,1088,761,570,851,False,passed
