update,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,format_accuracy,valid_answer_component_rate,valid_answer_rate_available,valid_answer_rate_definition_version,parseable_rate,canonical_pass_rate,accuracy_given_parseable,accuracy_given_parseable_available,accuracy_given_parseable_reason,grpo_loss,policy_loss,value_loss,policy_value_loss_reason,kl,kl_available,kl_reason,ratio_mean,ratio_available,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_reason,clip_fraction,clip_fraction_available,clip_fraction_reason,policy_entropy_mean,entropy_raw_metric_key,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,grad_norm,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,learning_rate,completion_length_mean,completion_length_std,eos_rate,truncation_rate,unique_completion_rate,completion_duplicate_rate,zero_advantage_group_count,zero_advantage_fraction,nonzero_variance_group_count,nonzero_variance_group_fraction,all_zero_group_count,all_equal_group_count
1,1803,1803,0.196875,0.31645929339332096,0.100146484375,0.4375,0.5,True,formal_domain_valid_answer_component_v1,0.4375,0.125,0.2857142857142857,True,,-0.062,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2863875888288021,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.25019851326942444,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1e-05,112.6875,43.241644785438034,1.0,0.0,1.0,0.0,2,0.5,2,0.5,1,2
2,1520,3323,0.03125,0.06584783595532961,0.0043359375,0.0625,0.1875,True,formal_domain_valid_answer_component_v1,0.0625,0.0,0.0,True,,-0.0785,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2730042263865471,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.6240696907043457,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.6875e-06,95.0,42.25221887664599,1.0,0.0,1.0,0.0,2,0.5,2,0.5,2,2
3,1543,4866,0.26875,0.28111107680061276,0.0790234375,0.6875,0.875,True,formal_domain_valid_answer_component_v1,0.625,0.125,0.2,True,,0.018,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.26277900487184525,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.4675023555755615,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.375000000000001e-06,96.4375,33.689703081950725,1.0,0.0,1.0,0.0,1,0.25,3,0.75,0,1
4,1648,6514,0.553125,0.451202819555685,0.203583984375,0.75,0.75,True,formal_domain_valid_answer_component_v1,0.6875,0.5,0.7272727272727273,True,,-0.0201,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.26915353909134865,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.49542000889778137,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.0625e-06,103.0,45.38033715167837,1.0,0.0,1.0,0.0,0,0.0,4,1.0,0,0
5,1385,7899,0.17500000000000002,0.22707377655731187,0.0515625,0.625,0.5625,True,formal_domain_valid_answer_component_v1,0.4375,0.0625,0.14285714285714285,True,,-0.0589,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.32875820621848106,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.8729968667030334,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.750000000000001e-06,86.5625,30.989854690688695,1.0,0.0,1.0,0.0,0,0.0,4,1.0,0,0
6,1441,9340,0.103125,0.24204128650914083,0.058583984375,0.1875,0.25,True,formal_domain_valid_answer_component_v1,0.1875,0.0625,0.3333333333333333,True,,0.0366,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.33677680790424347,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.5129812359809875,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.4375e-06,90.0625,50.4448569603483,0.9375,0.0625,1.0,0.0,0,0.0,4,1.0,0,0
7,2489,11829,0.1375,0.24011715890373184,0.05765625,0.375,0.4375,True,formal_domain_valid_answer_component_v1,0.375,0.0625,0.16666666666666666,True,,-0.0142,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2825857512652874,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.15712229907512665,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,8.125000000000001e-06,155.5625,75.48424400992567,0.8125,0.1875,1.0,0.0,2,0.5,2,0.5,1,2
8,2086,13915,0.246875,0.3697417806726743,0.136708984375,0.5,0.4375,True,formal_domain_valid_answer_component_v1,0.375,0.1875,0.5,True,,0.0547,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.2893577739596367,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.5920324325561523,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.8125e-06,130.375,62.69656589479204,0.9375,0.0625,1.0,0.0,0,0.0,4,1.0,0,0
9,1612,15527,0.08750000000000001,0.08569568250501305,0.0073437500000000005,0.375,0.375,True,formal_domain_valid_answer_component_v1,0.3125,0.0,0.0,True,,0.1211,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.27643291652202606,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.4182264804840088,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.500000000000001e-06,100.75,54.91982793126723,0.9375,0.0625,1.0,0.0,1,0.25,3,0.75,0,1
10,1197,16724,0.396875,0.47052787842486016,0.221396484375,0.4375,0.5,True,formal_domain_valid_answer_component_v1,0.4375,0.375,0.8571428571428571,True,,-0.0367,,,GRPO has no PPO value model/value loss,,False,GRPO beta=0.0; reference-model KL is not computed,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0,True,,0.25652533769607544,entropy,,False,native GRPO entropy is microbatch-mean aggregated and cannot be made identical to PPO without an additional or intrusive logits computation,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,0.5879733562469482,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,7.1875e-06,74.8125,36.55341767536929,1.0,0.0,1.0,0.0,1,0.25,3,0.75,1,1
