slice,truncated,status,count,subset_denominator,rate_within_subset
overall,False,format_error,608,720,0.8444444444444444
overall,False,parse_error,14,720,0.019444444444444445
overall,False,wrong_answer,71,720,0.09861111111111111
overall,False,verified_pass,27,720,0.0375
overall,True,format_error,80,80,1.0
overall,True,parse_error,0,80,0.0
overall,True,wrong_answer,0,80,0.0
overall,True,verified_pass,0,80,0.0
gsm8k,False,format_error,361,400,0.9025
gsm8k,False,parse_error,10,400,0.025
gsm8k,False,wrong_answer,20,400,0.05
gsm8k,False,verified_pass,9,400,0.0225
gsm8k,True,format_error,0,0,
gsm8k,True,parse_error,0,0,
gsm8k,True,wrong_answer,0,0,
gsm8k,True,verified_pass,0,0,
math500,False,format_error,247,320,0.771875
math500,False,parse_error,4,320,0.0125
math500,False,wrong_answer,51,320,0.159375
math500,False,verified_pass,18,320,0.05625
math500,True,format_error,80,80,1.0
math500,True,parse_error,0,80,0.0
math500,True,wrong_answer,0,80,0.0
math500,True,verified_pass,0,80,0.0
math500_level_1,False,format_error,39,68,0.5735294117647058
math500_level_1,False,parse_error,1,68,0.014705882352941176
math500_level_1,False,wrong_answer,18,68,0.2647058823529412
math500_level_1,False,verified_pass,10,68,0.14705882352941177
math500_level_1,True,format_error,12,12,1.0
math500_level_1,True,parse_error,0,12,0.0
math500_level_1,True,wrong_answer,0,12,0.0
math500_level_1,True,verified_pass,0,12,0.0
math500_level_2,False,format_error,56,67,0.835820895522388
math500_level_2,False,parse_error,1,67,0.014925373134328358
math500_level_2,False,wrong_answer,5,67,0.07462686567164178
math500_level_2,False,verified_pass,5,67,0.07462686567164178
math500_level_2,True,format_error,13,13,1.0
math500_level_2,True,parse_error,0,13,0.0
math500_level_2,True,wrong_answer,0,13,0.0
math500_level_2,True,verified_pass,0,13,0.0
math500_level_3,False,format_error,51,68,0.75
math500_level_3,False,parse_error,2,68,0.029411764705882353
math500_level_3,False,wrong_answer,15,68,0.22058823529411764
math500_level_3,False,verified_pass,0,68,0.0
math500_level_3,True,format_error,12,12,1.0
math500_level_3,True,parse_error,0,12,0.0
math500_level_3,True,wrong_answer,0,12,0.0
math500_level_3,True,verified_pass,0,12,0.0
math500_level_4,False,format_error,50,58,0.8620689655172413
math500_level_4,False,parse_error,0,58,0.0
math500_level_4,False,wrong_answer,5,58,0.08620689655172414
math500_level_4,False,verified_pass,3,58,0.05172413793103448
math500_level_4,True,format_error,22,22,1.0
math500_level_4,True,parse_error,0,22,0.0
math500_level_4,True,wrong_answer,0,22,0.0
math500_level_4,True,verified_pass,0,22,0.0
math500_level_5,False,format_error,51,59,0.864406779661017
math500_level_5,False,parse_error,0,59,0.0
math500_level_5,False,wrong_answer,8,59,0.13559322033898305
math500_level_5,False,verified_pass,0,59,0.0
math500_level_5,True,format_error,21,21,1.0
math500_level_5,True,parse_error,0,21,0.0
math500_level_5,True,wrong_answer,0,21,0.0
math500_level_5,True,verified_pass,0,21,0.0
