sample_position,batch,microstep,optimizer_step,problem_id,content_hash,dataset,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count_excluding_eos,active_label_token_count,combined_token_count,ignored_label_token_count,eos_active,truncation,sample_order_identity
1,1,1,1,gsm8k:openai/gsm8k:train:5980,16aab368916b3c1619ab27e733723357eac682ec9d27ac3b9733718731577faf,gsm8k,,16aab368916b3c1619ab27e733723357eac682ec9d27ac3b9733718731577faf,25e5f378aeeb9ce0f9586c4cb9e265186249c7edc1f3cf104d702a29046b89e6,144,82,83,227,144,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
2,1,1,1,gsm8k:openai/gsm8k:train:2789,089b7dca621360d367b0450d61fc38518eeab7df5ae7568c2c6198d640ace979,gsm8k,,089b7dca621360d367b0450d61fc38518eeab7df5ae7568c2c6198d640ace979,b1a206c6e23e210857bd0bb6a02856802a0bd59e178c1bfea96c3ab3a9b3449f,144,113,114,258,144,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
3,1,1,1,gsm8k:openai/gsm8k:train:1776,0953bab0d62fef5490f18df2bdbd4b8f70b504727a733cd66828674e65dfbbdd,gsm8k,,0953bab0d62fef5490f18df2bdbd4b8f70b504727a733cd66828674e65dfbbdd,c29217d3d54a7ea50396ed470f15d44c3dd596d2b685a7ffaae8b63da1f9cdd9,190,170,171,361,190,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
4,1,1,1,gsm8k:openai/gsm8k:train:1815,f863d446d7efdf0d27d80a1644484fe8577812db69f468c74a876483935933e3,gsm8k,,f863d446d7efdf0d27d80a1644484fe8577812db69f468c74a876483935933e3,890b6b336c10b3ebc3d2d355f7d278b56f1880c340f1fc0e1259ba1dbd172fb5,160,122,123,283,160,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
5,2,2,1,gsm8k:openai/gsm8k:train:3910,875f0048d074b058928d5b2928a6bccd38e03c89ac6da403e3dc3f1e364243d6,gsm8k,,875f0048d074b058928d5b2928a6bccd38e03c89ac6da403e3dc3f1e364243d6,c25c3f83051fc61d924b572957294920af0d8615b5691bf7c0d100de23f22a1e,134,63,64,198,134,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
6,2,2,1,gsm8k:openai/gsm8k:train:2766,72180b5f682ca2bc17f20f80831ac82ec0c10ebfebf9999af02e78053f3a04e0,gsm8k,,72180b5f682ca2bc17f20f80831ac82ec0c10ebfebf9999af02e78053f3a04e0,341542bf1273fbf6822edbec610cb505332994e80dec55799db31c26dfb70f42,159,100,101,260,159,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
7,2,2,1,gsm8k:openai/gsm8k:train:6040,e3353cc524bc46ecb51128e0fbbf4a3dd1faa6a43e2fc20274eb515e5a9f8638,gsm8k,,e3353cc524bc46ecb51128e0fbbf4a3dd1faa6a43e2fc20274eb515e5a9f8638,d4091a71e4588a9ed249ab1c8b110b69de048b7a9f63b96711d83c3ae4656290,157,92,93,250,157,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
8,2,2,1,gsm8k:openai/gsm8k:train:4447,faadfaace20f1ebdd2c79cd3c0f6e78fca109e3442748b9f1044eed35b5ecfcf,gsm8k,,faadfaace20f1ebdd2c79cd3c0f6e78fca109e3442748b9f1044eed35b5ecfcf,7d5ef31bd20c49b6dec4988e0707ac630dd11b9c27a410dfe02e7acb476d2613,181,164,165,346,181,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
9,3,3,1,gsm8k:openai/gsm8k:train:5871,d8d5992947afeeb0516726623fc844e52c6a03d289a2ca12e28397621b7c03e4,gsm8k,,d8d5992947afeeb0516726623fc844e52c6a03d289a2ca12e28397621b7c03e4,5aaa64b1639a859075ea7289b2af34ddf555d60bfb19632bd4a577be2f1a34e9,156,106,107,263,156,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
10,3,3,1,gsm8k:openai/gsm8k:train:6052,07323805b09e9eae8034921549d29de263a21f27f34fb3c96ee4606f2dae5dd1,gsm8k,,07323805b09e9eae8034921549d29de263a21f27f34fb3c96ee4606f2dae5dd1,a6f4601ad16afe390f212d96b9a12f115c6ff06776212c07ca35b91946c601bb,146,209,210,356,146,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
