run_id,seed,problem_id,domain,math500_level,sampled_pass_at_1,pass_at_4,format_valid,valid_answer,canonical_correct
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1119,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:714,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:779,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1009,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:459,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:525,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1010,gsm8k,,1,1,1,1,1
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:463,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:758,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:826,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:331,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:86,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:674,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:566,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1012,gsm8k,,0,0,1,1,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:534,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:505,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1160,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:270,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:668,gsm8k,,1,0,1,1,1
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:859,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1062,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:831,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1277,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:510,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:882,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:809,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:79,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:114,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1184,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:440,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1300,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:917,gsm8k,,1,0,1,1,1
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:649,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:381,gsm8k,,1,1,1,1,1
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1207,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:229,gsm8k,,0,1,1,1,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:927,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:106,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:197,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:53,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1041,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1266,gsm8k,,0,1,1,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:686,gsm8k,,0,1,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1094,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:32,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:180,gsm8k,,1,0,1,1,1
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1031,gsm8k,,0,0,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:512,gsm8k,,0,0,1,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:488,gsm8k,,0,0,1,1,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:985,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:805,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1195,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1274,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1298,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1209,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1159,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:361,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:666,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1050,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:421,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1167,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1218,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:620,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:611,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:960,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:886,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:30,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:961,gsm8k,,0,,1,1,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:162,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:138,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:923,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:613,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:388,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:216,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1075,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:469,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:493,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:44,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:278,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:435,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:636,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:465,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:399,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:487,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:389,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:273,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:455,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:729,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:118,gsm8k,,0,,1,1,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1280,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:685,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1214,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:76,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:852,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:1260,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:283,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:516,gsm8k,,0,,0,0,0
baseline_formal_1p5b_seed42_20260718T125833Z,42,gsm8k:test:42,gsm8k,,0,,0,0,0
