problem_id,dataset,domain,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count,combined_token_count,active_label_token_count,ignored_label_token_count,eos_present,eos_position,target_cap,target_cap_margin,prompt_cap,prompt_cap_margin,combined_contract_cap,combined_cap_margin,model_context_length,model_context_margin,truncation,would_exceed_target_cap,would_exceed_prompt_cap,normalization_identity,validation_status
gsm8k:openai/gsm8k:train:5980,gsm8k,gsm8k,,16aab368916b3c1619ab27e733723357eac682ec9d27ac3b9733718731577faf,25e5f378aeeb9ce0f9586c4cb9e265186249c7edc1f3cf104d702a29046b89e6,144,82,227,83,144,True,226,256,173,832,688,1088,861,131072,130845,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2789,gsm8k,gsm8k,,089b7dca621360d367b0450d61fc38518eeab7df5ae7568c2c6198d640ace979,b1a206c6e23e210857bd0bb6a02856802a0bd59e178c1bfea96c3ab3a9b3449f,144,113,258,114,144,True,257,256,142,832,688,1088,830,131072,130814,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1776,gsm8k,gsm8k,,0953bab0d62fef5490f18df2bdbd4b8f70b504727a733cd66828674e65dfbbdd,c29217d3d54a7ea50396ed470f15d44c3dd596d2b685a7ffaae8b63da1f9cdd9,190,170,361,171,190,True,360,256,85,832,642,1088,727,131072,130711,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1815,gsm8k,gsm8k,,f863d446d7efdf0d27d80a1644484fe8577812db69f468c74a876483935933e3,890b6b336c10b3ebc3d2d355f7d278b56f1880c340f1fc0e1259ba1dbd172fb5,160,122,283,123,160,True,282,256,133,832,672,1088,805,131072,130789,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3910,gsm8k,gsm8k,,875f0048d074b058928d5b2928a6bccd38e03c89ac6da403e3dc3f1e364243d6,c25c3f83051fc61d924b572957294920af0d8615b5691bf7c0d100de23f22a1e,134,63,198,64,134,True,197,256,192,832,698,1088,890,131072,130874,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2766,gsm8k,gsm8k,,72180b5f682ca2bc17f20f80831ac82ec0c10ebfebf9999af02e78053f3a04e0,341542bf1273fbf6822edbec610cb505332994e80dec55799db31c26dfb70f42,159,100,260,101,159,True,259,256,155,832,673,1088,828,131072,130812,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6040,gsm8k,gsm8k,,e3353cc524bc46ecb51128e0fbbf4a3dd1faa6a43e2fc20274eb515e5a9f8638,d4091a71e4588a9ed249ab1c8b110b69de048b7a9f63b96711d83c3ae4656290,157,92,250,93,157,True,249,256,163,832,675,1088,838,131072,130822,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4447,gsm8k,gsm8k,,faadfaace20f1ebdd2c79cd3c0f6e78fca109e3442748b9f1044eed35b5ecfcf,7d5ef31bd20c49b6dec4988e0707ac630dd11b9c27a410dfe02e7acb476d2613,181,164,346,165,181,True,345,256,91,832,651,1088,742,131072,130726,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5871,gsm8k,gsm8k,,d8d5992947afeeb0516726623fc844e52c6a03d289a2ca12e28397621b7c03e4,5aaa64b1639a859075ea7289b2af34ddf555d60bfb19632bd4a577be2f1a34e9,156,106,263,107,156,True,262,256,149,832,676,1088,825,131072,130809,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6052,gsm8k,gsm8k,,07323805b09e9eae8034921549d29de263a21f27f34fb3c96ee4606f2dae5dd1,a6f4601ad16afe390f212d96b9a12f115c6ff06776212c07ca35b91946c601bb,146,209,356,210,146,True,355,256,46,832,686,1088,732,131072,130716,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3126,gsm8k,gsm8k,,c9cee6b3d6a180a7d575980a9e31b012e7717e713ec42399b6dac7c955d21a49,289ee89ffc392d1f73abe3cc0e68a4104e70995ce174a9ca613a64167dac2be6,196,283,480,284,196,True,479,256,-28,832,636,1088,608,131072,130592,False,True,False,gsm8k_rsplit_hashhash_strip_commas_v1,blocked_cap_exceeded
gsm8k:openai/gsm8k:train:6608,gsm8k,gsm8k,,d3af5d6f4d44317b57f835a6d09a4853ee6db6f4603369dae0c50e38f7bbc27d,115418e8afd63ab45e28294d8c01b05b9fbe3f22b60515cfd055e7d4f11f8a38,192,328,521,329,192,True,520,256,-73,832,640,1088,567,131072,130551,False,True,False,gsm8k_rsplit_hashhash_strip_commas_v1,blocked_cap_exceeded
gsm8k:openai/gsm8k:train:3469,gsm8k,gsm8k,,a1e94f3baf527caac6004d45dc632dd395c9d31f35f9f63b71f5755f500715cf,26ad73873fb3bb652e2a4829ae75b1263fbec6d52960288db5179c5aef33187c,169,141,311,142,169,True,310,256,114,832,663,1088,777,131072,130761,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3675,gsm8k,gsm8k,,c99929d7dbfcbae8f6442fbeb0e6b23c9b483e297a47d21f11134ac6c369735d,ed9a8347a0c2a9da46b226ab9aef369617127831323b5ebee6aee2a5cd104337,146,139,286,140,146,True,285,256,116,832,686,1088,802,131072,130786,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
