byte_size,contains_adapter,contains_completion_text_or_trusted_gold,contains_optimizer_scheduler_rng,download_verification_status,exclusion_reason,item_type,notes,preservation_target,scientific_purpose,sha256,sha_kind,source_path,upload_status
58954911,False,False,False,fresh_clone_tag_head_qa_links_verified,,git_repository,,Git + GitHub main/improve/tag,"Source, configs, manifests, reports and public portfolio",11fb7caf60ba409676af87524633c63a8532bdd4,git_commit,/root/autodl-tmp/code-rlvr,preserved_on_github_main_improve_and_patch_tag
40069,False,False,False,fresh_clone_200_questions_200_answers_verified,,documentation,,Git + GitHub patch release,200-question Chinese interview preparation,e633ea0a682f8e02cd0de8a57927c01d33638f6f16c43b5348f2baba3afeb8a3,file_sha256,docs/INTERVIEW_200_QA_ZH.md,committed_pushed_and_patch_tagged
54723649,True,True,True,corresponding_release_bundle_independently_downloaded_and_verified,,checkpoint_directory,current tree files=11; tree_inventory_sha256=344ae67ff3ce11c4a9e58e4f52a1fe84fe2e93f70f3745ba05768d0117b39f9a,GitHub Release adapter-only bundle + public evidence bundle; full resume state requires private backup,Exact old GRPO-v1 evaluated checkpoint,c0c1a3dc04b28d8d42463009b728b3ffd144e677c35e5d3ace2749fc925fa65a,checkpoint_artifact_manifest_sha256,/root/autodl-tmp/runs/math_rlvr/grpo_formal_1p5b_seed42_20260720T031006Z/checkpoint-32,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
52547960,True,False,True,corresponding_release_bundle_independently_downloaded_and_verified,,checkpoint_directory,current tree files=10; tree_inventory_sha256=00cbdf4039420e7ea8f269c8c43a72c86199a5bdbe22080928d07924a521fc11,GitHub Release adapter-only bundle + public evidence bundle; full resume state requires private backup,Exact warm-start-only evaluated checkpoint,507749d393f38690915a76228b4c53a8b5c8927d40aada9f2768a90334d892f0,checkpoint_artifact_identity_sha256,/root/autodl-tmp/runs/math_rlvr/warmstart_grpo_v2_seed42_20260722T051218Z/checkpoint-16,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
59112589,True,True,True,corresponding_release_bundle_independently_downloaded_and_verified,,checkpoint_directory,current tree files=11; tree_inventory_sha256=89e5839944198b58fb96157e7f6b69b07df0c8f391819ae626c5ec119e37d82e,GitHub Release adapter-only bundle + public evidence bundle; full resume state requires private backup,Exact selected GRPO-v2 evaluated checkpoint,73bb15a32911f490216be2a80eb0d112be0f79236a6d461fd81fbd0579639246,checkpoint_artifact_manifest_sha256,/root/autodl-tmp/runs/math_rlvr/grpo_v2_seed42_20260726T044303Z/checkpoint-96,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
243711822,True,True,True,corresponding_release_bundle_independently_downloaded_and_verified,,run_directory,current tree files=66; tree_inventory_sha256=cd4002362afe0bf3c8aa26ebb15c9c8fa55bdb97fb914f317a64e14c48607e30,GitHub Release adapter-only bundle + public evidence bundle; full resume state requires private backup,GRPO-v2 scientific training and dev primary evidence,52ccac92e175fb380f54fd8ec18a25b148290574ed3d81f1fe4790ae012ddfcb,verified_backup_sha256,/root/autodl-tmp/runs/math_rlvr/grpo_v2_seed42_20260726T044303Z,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
4622181,False,True,False,corresponding_release_bundle_independently_downloaded_and_verified,,run_directory,current tree files=17; tree_inventory_sha256=2c5684022f3a3e0ae7f0b047f0a13e395ffd187b1eb29188a77b8408cacfea58,GitHub Release public evidence bundle,Base hidden primary evidence and failure history,532ac2854ade3374c3725410f509f6092e2508453fbd68522cf1b85c9660e215,failure_backup_sha256,/root/autodl-tmp/runs/math_rlvr/base_hidden_grpo_v2_seed42_20260728T073339Z,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
6951837,False,True,False,corresponding_release_bundle_independently_downloaded_and_verified,,run_directory,current tree files=28; tree_inventory_sha256=4f2acbc71bcf670e67368443bc95f0086d67c9cf6e5eba23313aa9124dd81d4d,GitHub Release public evidence bundle,Old GRPO-v1 hidden primary evidence,7b29b77362c39f16a04bd960025024bb70b4f63831732066b49e8e833d7f2bc7,verified_backup_sha256,/root/autodl-tmp/runs/math_rlvr/old_grpo_v1_hidden_grpo_v2_seed42_20260728T083153Z,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
6950067,False,True,False,corresponding_release_bundle_independently_downloaded_and_verified,,run_directory,current tree files=28; tree_inventory_sha256=19caa4d344c05323abdae0f6cb4dd383aa8d75fe9051f8e9200c30d29b6802fe,GitHub Release public evidence bundle,Warm-start hidden primary evidence,914d5e941e1db8f707efcac72c6699a72feaea958ca372fea1fa01460d603d7d,verified_backup_sha256,/root/autodl-tmp/runs/math_rlvr/warmstart_only_hidden_grpo_v2_seed42_20260728T083153Z,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
6940598,False,True,False,corresponding_release_bundle_independently_downloaded_and_verified,,run_directory,current tree files=28; tree_inventory_sha256=b8748a9fd60c84d259aa468d1e650f9d1c0d12f442ee8eef4bc751d313deeca2,GitHub Release public evidence bundle,Selected GRPO-v2 hidden primary evidence,b693799df4a6af36c4c8f6c20b695052f553c42349905139796131555b7c6ebc,verified_backup_sha256,/root/autodl-tmp/runs/math_rlvr/selected_grpo_v2_hidden_grpo_v2_seed42_20260728T083153Z,public_inference_or_evidence_subset_uploaded; full_resume_state_explicitly_excluded
